size,case,dtype,algorithm,repeats,avg_seconds,best_seconds,status
1000,random,int,merge,3,0.00153406666504452,0.0015008999980636872,ok
1000,random,int,quick,3,0.00099440000000565,0.0008521999989170581,ok
1000,random,int,heap,3,0.0016501666662710097,0.001599099996383302,ok
1000,random,int,timsort,3,6.65333354845643e-05,6.040000153006986e-05,ok
1000,sorted,int,merge,3,0.0010590999978982534,0.0010511999935260974,ok
1000,sorted,int,quick,3,0.0006890666651694725,0.0006836999964434654,ok
1000,sorted,int,heap,3,0.0016128333348509234,0.0016098000050988048,ok
1000,sorted,int,timsort,3,5.766664495846878e-06,4.800000169780105e-06,ok
1000,reversed,int,merge,3,0.001796866667670353,0.0011276000004727393,ok
1000,reversed,int,quick,3,0.0013319666686584242,0.001272200002858881,ok
1000,reversed,int,heap,3,0.0015072000023792498,0.001447900001949165,ok
1000,reversed,int,timsort,3,6.899999182981749e-06,5.800000508315861e-06,ok
5000,random,int,merge,3,0.009777366668762019,0.00957120000384748,ok
5000,random,int,quick,3,0.0057276666654312676,0.005067199999757577,ok
5000,random,int,heap,3,0.011847133333503734,0.011125600001832936,ok
5000,random,int,timsort,3,0.000501733333900726,0.0004966000051354058,ok
5000,sorted,int,merge,3,0.007037133334961254,0.006409500005247537,ok
5000,sorted,int,quick,3,0.0050316333314791946,0.004556899999442976,ok
5000,sorted,int,heap,3,0.011826966668498548,0.010707000001275446,ok
5000,sorted,int,timsort,3,2.626667022317027e-05,2.5300003471784294e-05,ok
5000,reversed,int,merge,3,0.006823566667056487,0.006038300001819152,ok
5000,reversed,int,quick,3,0.008882633335209297,0.007521400002588052,ok
5000,reversed,int,heap,3,0.010674933335394599,0.009645600002841093,ok
5000,reversed,int,timsort,3,3.510000048360477e-05,3.460000152699649e-05,ok
10000,random,int,merge,3,0.023267233329534065,0.023047699993185233,ok
10000,random,int,quick,3,0.01299260000087088,0.012904600000183564,ok
10000,random,int,heap,3,0.022880433333436184,0.02234389999648556,ok
10000,random,int,timsort,3,0.001053133334304827,0.0010286999968229793,ok
10000,sorted,int,merge,3,0.014557633333121581,0.014172700000926852,ok
10000,sorted,int,quick,3,0.009692666666524019,0.008565999996790197,ok
10000,sorted,int,heap,3,0.023914766667682368,0.02326119999634102,ok
10000,sorted,int,timsort,3,4.966666892869398e-05,4.8300003982149065e-05,ok
10000,reversed,int,merge,3,0.014802000000296781,0.0140356999982032,ok
10000,reversed,int,quick,3,0.01703583333437564,0.016294599998218473,ok
10000,reversed,int,heap,3,0.021360999999160413,0.02089189999969676,ok
10000,reversed,int,timsort,3,6.306666667417933e-05,6.170000415295362e-05,ok
50000,random,int,merge,3,0.1431017666667079,0.12859279999975115,ok
50000,random,int,quick,3,0.07058606666638904,0.06846139999834122,ok
50000,random,int,heap,3,0.15737696666716752,0.152637400002277,ok
50000,random,int,timsort,3,0.007407600001897663,0.0065858000016305596,ok
50000,sorted,int,merge,3,0.08160733333352255,0.0707810999956564,ok
50000,sorted,int,quick,3,0.06097100000139714,0.05770240000128979,ok
50000,sorted,int,heap,3,0.14777793333632872,0.14376869999978226,ok
50000,sorted,int,timsort,3,0.0003050666661389793,0.0002880000029108487,ok
50000,reversed,int,merge,3,0.07837996666542797,0.07501549999869894,ok
50000,reversed,int,quick,3,0.1173668333334111,0.11509079999814276,ok
50000,reversed,int,heap,3,0.1328267999997479,0.12237199999799486,ok
50000,reversed,int,timsort,3,0.000281333333987277,0.00026110000180779025,ok
100000,random,int,merge,3,0.29654373333081213,0.27710990000196034,ok
100000,random,int,quick,3,0.1756743666677115,0.15951250000216532,ok
100000,random,int,heap,3,0.4765684333324316,0.3844886999941082,ok
100000,random,int,timsort,3,0.022998666667263024,0.020223599996825214,ok
100000,sorted,int,merge,3,0.3931742999969477,0.32910139999876264,ok
100000,sorted,int,quick,3,0.23800863333114344,0.18143059999420075,ok
100000,sorted,int,heap,3,0.5176464333320231,0.3893562000012025,ok
100000,sorted,int,timsort,3,0.0011438333337234023,0.0007910000058473088,ok
100000,reversed,int,merge,3,0.2822389333353688,0.2597359999999753,ok
100000,reversed,int,quick,3,0.37996969999949215,0.36278219999803696,ok
100000,reversed,int,heap,3,0.5681590666669459,0.4847609000062221,ok
100000,reversed,int,timsort,3,0.002094899997852432,0.0013526999973692,ok
250000,random,int,merge,3,1.798887733333686,1.141308600002958,ok
250000,random,int,quick,3,1.014806166664736,0.9693152999971062,ok
250000,random,int,heap,3,2.7072199333342724,2.6135788000028697,ok
250000,random,int,timsort,3,0.09288376666760693,0.06509020000521559,ok
250000,sorted,int,merge,3,1.123017000000497,1.0254853000005824,ok
250000,sorted,int,quick,3,0.8687627666658955,0.7482748000038555,ok
250000,sorted,int,heap,3,1.4025161666674346,1.271122900005139,ok
250000,sorted,int,timsort,3,0.003973066666124699,0.003169399999023881,ok
250000,reversed,int,merge,3,0.5658801666674359,0.5293353000015486,ok
250000,reversed,int,quick,3,0.9321056999979191,0.8038052999982028,ok
250000,reversed,int,heap,3,0.9157809333288848,0.8160002999939024,ok
250000,reversed,int,timsort,3,0.003791533332938949,0.003209800001059193,ok
500000,random,int,merge,3,2.148828433334226,1.7309915000005276,ok
500000,random,int,quick,3,2.2972723999992013,1.4322013999990304,ok
500000,random,int,heap,3,3.3853833666653372,3.265425800003868,ok
500000,random,int,timsort,3,0.162893266666894,0.15449279999302235,ok
500000,sorted,int,merge,3,1.7193480666683172,1.2712354000032065,ok
500000,sorted,int,quick,3,1.00433493333306,0.8623035999989952,ok
500000,sorted,int,heap,3,1.9956681666662917,1.785643600000185,ok
500000,sorted,int,timsort,3,0.008105700001275787,0.0058160000044154,ok
500000,reversed,int,merge,3,1.0601520333317846,0.9392007999995258,ok
500000,reversed,int,quick,3,1.3517178333325621,1.3454762999972445,ok
500000,reversed,int,heap,3,1.7509711333332234,1.659708799998043,ok
500000,reversed,int,timsort,3,0.005793800000295353,0.005660000002535526,ok
